Country Name,Country Code,Year,Value
Brazil,BRA,1960,15165569912.5199
Brazil,BRA,1961,15236854859.469
Brazil,BRA,1962,19926293839.0163
Brazil,BRA,1963,23021477292.2093
Brazil,BRA,1964,21211892259.9904
Brazil,BRA,1965,21790035117.19
Brazil,BRA,1966,27062716577.9111
Brazil,BRA,1967,30591834053.9653
Brazil,BRA,1968,33875881876.3672
Brazil,BRA,1969,37458898243.8609
Brazil,BRA,1970,42327600098.2412
Brazil,BRA,1971,49204456700.4516
Brazil,BRA,1972,58539008786.3684
Brazil,BRA,1973,79279057730.829
Brazil,BRA,1974,105136007528.76
Brazil,BRA,1975,123709376567.89
Brazil,BRA,1976,152678020452.829
Brazil,BRA,1977,176171284311.761
Brazil,BRA,1978,200800891870.164
Brazil,BRA,1979,224969488835.181
Brazil,BRA,1980,235024598983.261
Brazil,BRA,1981,263561088977.129
Brazil,BRA,1982,281682304161.041
Brazil,BRA,1983,203304515490.795
Brazil,BRA,1984,209023912696.839
Brazil,BRA,1985,222942790435.299
Brazil,BRA,1986,268137224729.722
Brazil,BRA,1987,294084112392.66
Brazil,BRA,1988,330397381998.489
Brazil,BRA,1989,425595310000.0
Brazil,BRA,1990,461951782000.0
Brazil,BRA,1991,602860000000.0
Brazil,BRA,1992,400599250000.0
Brazil,BRA,1993,437798577639.752
Brazil,BRA,1994,558111997497.263
Brazil,BRA,1995,785643456467.255
Brazil,BRA,1996,850425828275.793
Brazil,BRA,1997,883199443413.729
Brazil,BRA,1998,863723395088.324
Brazil,BRA,1999,599388879704.634
Brazil,BRA,2000,655421153320.579
Brazil,BRA,2001,559372502338.237
Brazil,BRA,2002,507962741819.919
Brazil,BRA,2003,558320116997.075
Brazil,BRA,2004,669316239316.239
Brazil,BRA,2005,891629970423.924
Brazil,BRA,2006,1107640325472.35
Brazil,BRA,2007,1397084381901.29
Brazil,BRA,2008,1695824517395.57
Brazil,BRA,2009,1667019605881.76
Brazil,BRA,2010,2208871646202.82
Brazil,BRA,2011,2616201578192.25
Brazil,BRA,2012,2465188674415.03
Brazil,BRA,2013,2472806919901.67
Brazil,BRA,2014,2455993200170.0
Brazil,BRA,2015,1803652649613.75
Brazil,BRA,2016,1796186586414.45
China,CHN,1960,59716467625.3148
China,CHN,1961,50056868957.6732
China,CHN,1962,47209359005.6056
China,CHN,1963,50706799902.5103
China,CHN,1964,59708343488.5043
China,CHN,1965,70436266146.7219
China,CHN,1966,76720285969.6157
China,CHN,1967,72881631326.6715
China,CHN,1968,70846535055.6503
China,CHN,1969,79705906247.4612
China,CHN,1970,92602973434.0726
China,CHN,1971,99800958648.1436
China,CHN,1972,113687586299.051
China,CHN,1973,138544284708.957
China,CHN,1974,144182133387.722
China,CHN,1975,163431551779.761
China,CHN,1976,153940455341.506
China,CHN,1977,174938098826.569
China,CHN,1978,149540752829.268
China,CHN,1979,178280594413.043
China,CHN,1980,191149211575.0
China,CHN,1981,195866382432.54
China,CHN,1982,205089699858.779
China,CHN,1983,230686747153.257
China,CHN,1984,259946510957.143
China,CHN,1985,309488028132.653
China,CHN,1986,300758100107.246
China,CHN,1987,272972974764.574
China,CHN,1988,312353631207.819
China,CHN,1989,347768051311.741
China,CHN,1990,360857912565.966
China,CHN,1991,383373318083.624
China,CHN,1992,426915712711.146
China,CHN,1993,444731282436.762
China,CHN,1994,564324670005.917
China,CHN,1995,734547898220.508
China,CHN,1996,863746717503.789
China,CHN,1997,961603952951.82
China,CHN,1998,1029043097554.08
China,CHN,1999,1093997267271.06
China,CHN,2000,1211346869605.24
China,CHN,2001,1339395718865.3
China,CHN,2002,1470550015081.55
China,CHN,2003,1660287965662.68
China,CHN,2004,1955347004963.27
China,CHN,2005,2285965892360.54
China,CHN,2006,2752131773355.16
China,CHN,2007,3552182311652.97
China,CHN,2008,4598206091384.0
China,CHN,2009,5109953609257.25
China,CHN,2010,6100620488867.55
China,CHN,2011,7572553836875.34
China,CHN,2012,8560547314679.28
China,CHN,2013,9607224481532.65
China,CHN,2014,10482372109961.9
China,CHN,2015,11064666282625.5
China,CHN,2016,11199145157649.2
India,IND,1960,36535925029.925
India,IND,1961,38709096075.0961
India,IND,1962,41599070245.0702
India,IND,1963,47776000903.0009
India,IND,1964,55726873075.8731
India,IND,1965,58760424674.5065
India,IND,1966,45253641300.0
India,IND,1967,49466168893.3333
India,IND,1968,52377324280.0
India,IND,1969,57668330026.6667
India,IND,1970,61589800520.0
India,IND,1971,66452561868.4154
India,IND,1972,70509913046.8528
India,IND,1973,84374541625.3338
India,IND,1974,98198276856.9136
India,IND,1975,97159222028.3357
India,IND,1976,101346972433.237
India,IND,1977,119866746569.343
India,IND,1978,135468782810.558
India,IND,1979,150950826964.984
India,IND,1980,183839864648.794
India,IND,1981,190909548793.872
India,IND,1982,198037712680.328
India,IND,1983,215350771423.861
India,IND,1984,209328156804.186
