Country,year,GDP (current US$),CO2 emissions (kt),"Population, total"
Brazil,1990,390726000000,197900,150706446
Brazil,1991,342609000000,205480,153336445
Brazil,1992,328188000000,207870,155900790
Brazil,1993,368296000000,215260,158440875
Brazil,1994,525370000000,222500,160980472
Brazil,1995,769333000000,241280,163515328
Brazil,1996,850426000000,262410,166037122
Brazil,1997,883206000000,281330,168546707
Brazil,1998,863711000000,290590,171039804
Brazil,1999,599642000000,300960,173486281
Brazil,2000,655448000000,313670,175873720
Brazil,2001,559991000000,319380,178211881
Brazil,2002,509789000000,317760.0098,180476685
Brazil,2003,558229000000,310809.9976,182629278
Brazil,2004,669294000000,328519.989,184722043
Brazil,2005,891630000000,331690.0024,186797334
Brazil,2006,1107640000000,335619.9951,188820682
Brazil,2007,1397080000000,352559.9976,190779453
Brazil,2008,1695820000000,373630.0049,192672317
Brazil,2009,1667020000000,350000,194517549
Brazil,2010,2208870000000,397929.9927,196353492
Brazil,2011,2616200000000,418309.9976,198185302
Brazil,2012,2465190000000,454230.011,199977707
Brazil,2013,2472810000000,486839.9963,201721767
Brazil,2014,2455990000000,511619.9951,203459650
Brazil,2015,1802210000000,485339.9963,205188205
Brazil,2016,1795700000000,447079.9866,206859578
Brazil,2017,2063510000000,456489.9902,208504960
Brazil,2018,1916950000000,433989.9902,210166592
Brazil,2019,1873270000000,434299.9878,211782878
Russian Federation,1990,516814000000,2163530,147969407
Russian Federation,1991,517963000000,2136440,148394216
Russian Federation,1992,460291000000,2030810,148538197
Russian Federation,1993,435084000000,1880250,148458777
Russian Federation,1994,395077000000,1685050,148407912
Russian Federation,1995,395537000000,1635490,148375787
Russian Federation,1996,391725000000,1601180,148160129
Russian Federation,1997,404929000000,1489510,147915361
Russian Federation,1998,270955000000,1487970,147670784
Russian Federation,1999,195907000000,1523720,147214776
Russian Federation,2000,259710000000,1563850,146596869
Russian Federation,2001,306602000000,1567170,145976482
Russian Federation,2002,345470000000,1565339.966,145306497
Russian Federation,2003,430348000000,1610000,144648618
Russian Federation,2004,591017000000,1600979.98,144067316
Russian Federation,2005,764017000000,1611979.98,143518814
Russian Federation,2006,989931000000,1654849.976,143049637
Russian Federation,2007,1299710000000,1658150.024,142805114
Russian Federation,2008,1660850000000,1655189.941,142742366
Russian Federation,2009,1222640000000,1546670.044,142785349
Russian Federation,2010,1524920000000,1617829.956,142849468
Russian Federation,2011,2045930000000,1699089.966,142960908
Russian Federation,2012,2208300000000,1675760.01,143201721
Russian Federation,2013,2292470000000,1632680.054,143506995
Russian Federation,2014,2059240000000,1611959.961,143819667
Russian Federation,2015,1363480000000,1592560.059,144096870
Russian Federation,2016,1276790000000,1571520.02,144342397
Russian Federation,2017,1574200000000,1594550.049,144496739
Russian Federation,2018,1657330000000,1661000,144477859
Russian Federation,2019,1693110000000,1703589.966,144406261
India,1990,320979000000,563580,870452165
India,1991,270105000000,607230,888941756
India,1992,288208000000,626290,907574049
India,1993,279296000000,651350,926351297
India,1994,327276000000,685900,945261958
India,1995,360282000000,737860,964279129
India,1996,392897000000,774070,983281218
India,1997,415868000000,819270,1002335230
India,1998,421351000000,836270,1021434576
India,1999,458820000000,901330,1040500054
India,2000,468395000000,937860,1059633675
India,2001,485441000000,953540,1078970907
India,2002,514938000000,985450.0122,1098313039
India,2003,607699000000,1011770.02,1117415123
India,2004,709149000000,1085670.044,1136264583
India,2005,820382000000,1136469.971,1154638713
India,2006,940260000000,1215209.961,1172373788
India,2007,1216740000000,1336739.99,1189691809
India,2008,1198900000000,1424380.005,1206734806
India,2009,1341890000000,1564880.005,1223640160
India,2010,1675620000000,1659979.98,1240613620
India,2011,1823050000000,1756739.99,1257621191
India,2012,1827640000000,1909439.941,1274487215
India,2013,1856720000000,1972430.054,1291132063
India,2014,2039130000000,2147110.107,1307246509
India,2015,2103590000000,2158020.02,1322866505
