Country,Country Code,Year,GDP
Brazil,BRA,1960,15165569913.0
Brazil,BRA,1961,15236854859.0
Brazil,BRA,1962,19926293839.0
Brazil,BRA,1963,23021477292.0
Brazil,BRA,1964,21211892260.0
Brazil,BRA,1965,21790035117.0
Brazil,BRA,1966,27062716578.0
Brazil,BRA,1967,30591834054.0
Brazil,BRA,1968,33875881876.0
Brazil,BRA,1969,37458898244.0
Brazil,BRA,1970,42327600098.0
Brazil,BRA,1971,49204456700.0
Brazil,BRA,1972,58539008786.0
Brazil,BRA,1973,79279057731.0
Brazil,BRA,1974,105136000000.0
Brazil,BRA,1975,123709000000.0
Brazil,BRA,1976,152678000000.0
Brazil,BRA,1977,176171000000.0
Brazil,BRA,1978,200801000000.0
Brazil,BRA,1979,224969000000.0
Brazil,BRA,1980,235025000000.0
Brazil,BRA,1981,263561000000.0
Brazil,BRA,1982,281682000000.0
Brazil,BRA,1983,203305000000.0
Brazil,BRA,1984,209024000000.0
Brazil,BRA,1985,222943000000.0
Brazil,BRA,1986,268137000000.0
Brazil,BRA,1987,294084000000.0
Brazil,BRA,1988,330397000000.0
Brazil,BRA,1989,425595000000.0
Brazil,BRA,1990,461952000000.0
Brazil,BRA,1991,602860000000.0
Brazil,BRA,1992,400599000000.0
Brazil,BRA,1993,437799000000.0
Brazil,BRA,1994,558112000000.0
Brazil,BRA,1995,785643000000.0
Brazil,BRA,1996,850426000000.0
Brazil,BRA,1997,883199000000.0
Brazil,BRA,1998,863723000000.0
Brazil,BRA,1999,599389000000.0
Brazil,BRA,2000,655421000000.0
Brazil,BRA,2001,559373000000.0
Brazil,BRA,2002,507963000000.0
Brazil,BRA,2003,558320000000.0
Brazil,BRA,2004,669316000000.0
Brazil,BRA,2005,891630000000.0
Brazil,BRA,2006,1107640000000.0
Brazil,BRA,2007,1397080000000.0
Brazil,BRA,2008,1695820000000.0
Brazil,BRA,2009,1667020000000.0
Brazil,BRA,2010,2208870000000.0
Brazil,BRA,2011,2616200000000.0
Brazil,BRA,2012,2465190000000.0
Brazil,BRA,2013,2472810000000.0
Brazil,BRA,2014,2455990000000.0
Brazil,BRA,2015,1803650000000.0
Brazil,BRA,2016,1796190000000.0
China,CHN,1960,59716467625.0
China,CHN,1961,50056868958.0
China,CHN,1962,47209359006.0
China,CHN,1963,50706799903.0
China,CHN,1964,59708343489.0
China,CHN,1965,70436266147.0
China,CHN,1966,76720285970.0
China,CHN,1967,72881631327.0
China,CHN,1968,70846535056.0
China,CHN,1969,79705906247.0
China,CHN,1970,92602973434.0
China,CHN,1971,99800958648.0
China,CHN,1972,113688000000.0
China,CHN,1973,138544000000.0
China,CHN,1974,144182000000.0
China,CHN,1975,163432000000.0
China,CHN,1976,153940000000.0
China,CHN,1977,174938000000.0
China,CHN,1978,149541000000.0
China,CHN,1979,178281000000.0
China,CHN,1980,191149000000.0
China,CHN,1981,195866000000.0
China,CHN,1982,205090000000.0
China,CHN,1983,230687000000.0
China,CHN,1984,259947000000.0
China,CHN,1985,309488000000.0
China,CHN,1986,300758000000.0
China,CHN,1987,272973000000.0
China,CHN,1988,312354000000.0
China,CHN,1989,347768000000.0
China,CHN,1990,360858000000.0
China,CHN,1991,383373000000.0
China,CHN,1992,426916000000.0
China,CHN,1993,444731000000.0
China,CHN,1994,564325000000.0
China,CHN,1995,734548000000.0
China,CHN,1996,863747000000.0
China,CHN,1997,961604000000.0
China,CHN,1998,1029040000000.0
China,CHN,1999,1094000000000.0
China,CHN,2000,1211350000000.0
China,CHN,2001,1339400000000.0
China,CHN,2002,1470550000000.0
China,CHN,2003,1660290000000.0
China,CHN,2004,1955350000000.0
China,CHN,2005,2285970000000.0
China,CHN,2006,2752130000000.0
China,CHN,2007,3552180000000.0
China,CHN,2008,4598210000000.0
China,CHN,2009,5109950000000.0
China,CHN,2010,6100620000000.0
China,CHN,2011,7572550000000.0
China,CHN,2012,8560550000000.0
China,CHN,2013,9607220000000.0
China,CHN,2014,10482400000000.0
China,CHN,2015,11064700000000.0
China,CHN,2016,11199100000000.0
India,IND,1960,36535925030.0
India,IND,1961,38709096075.0
India,IND,1962,41599070245.0
India,IND,1963,47776000903.0
India,IND,1964,55726873076.0
India,IND,1965,58760424675.0
India,IND,1966,45253641300.0
India,IND,1967,49466168893.0
India,IND,1968,52377324280.0
India,IND,1969,57668330027.0
India,IND,1970,61589800520.0
India,IND,1971,66452561868.0
India,IND,1972,70509913047.0
India,IND,1973,84374541625.0
India,IND,1974,98198276857.0
India,IND,1975,97159222028.0
India,IND,1976,101347000000.0
India,IND,1977,119867000000.0
India,IND,1978,135469000000.0
India,IND,1979,150951000000.0
India,IND,1980,183840000000.0
India,IND,1981,190910000000.0
India,IND,1982,198038000000.0
India,IND,1983,215351000000.0
India,IND,1984,209328000000.0
India,IND,1985,229410000000.0
India,IND,1986,245665000000.0
India,IND,1987,275311000000.0
India,IND,1988,292633000000.0
India,IND,1989,292093000000.0
India,IND,1990,316697000000.0
India,IND,1991,266502000000.0
India,IND,1992,284364000000.0
India,IND,1993,275570000000.0
India,IND,1994,322910000000.0
India,IND,1995,355476000000.0
India,IND,1996,387656000000.0
India,IND,1997,410320000000.0
India,IND,1998,415731000000.0
India,IND,1999,452700000000.0
India,IND,2000,462147000000.0
India,IND,2001,478965000000.0
India,IND,2002,508069000000.0
India,IND,2003,599593000000.0
India,IND,2004,699689000000.0
India,IND,2005,808901000000.0
India,IND,2006,920317000000.0
India,IND,2007,1201110000000.0
India,IND,2008,1186950000000.0
India,IND,2009,1323940000000.0
India,IND,2010,1656620000000.0
India,IND,2011,1823050000000.0
India,IND,2012,1827640000000.0
India,IND,2013,1856720000000.0
India,IND,2014,2035390000000.0
India,IND,2015,2089870000000.0
India,IND,2016,2263790000000.0
South Africa,ZAF,1960,7575248495.0
South Africa,ZAF,1961,7972840543.0
South Africa,ZAF,1962,8497830043.0
South Africa,ZAF,1963,9423211536.0
South Africa,ZAF,1964,10373792524.0
South Africa,ZAF,1965,11334173317.0
South Africa,ZAF,1966,12354752905.0
South Africa,ZAF,1967,13777124458.0
South Africa,ZAF,1968,14894302114.0
South Africa,ZAF,1969,16780064399.0
South Africa,ZAF,1970,18418031639.0
South Africa,ZAF,1971,20334172260.0
South Africa,ZAF,1972,21358137115.0
South Africa,ZAF,1973,29293948127.0
South Africa,ZAF,1974,36806475350.0
South Africa,ZAF,1975,38114942529.0
South Africa,ZAF,1976,36601885925.0
South Africa,ZAF,1977,40649724011.0
South Africa,ZAF,1978,46737580497.0
South Africa,ZAF,1979,57647268409.0
South Africa,ZAF,1980,82984078069.0
South Africa,ZAF,1981,89629496833.0
South Africa,ZAF,1982,82696902010.0
South Africa,ZAF,1983,88786580363.0
South Africa,ZAF,1984,87880468269.0
South Africa,ZAF,1985,69208451593.0
South Africa,ZAF,1986,82107924006.0
South Africa,ZAF,1987,107415000000.0
South Africa,ZAF,1988,118332000000.0
South Africa,ZAF,1989,128903000000.0
South Africa,ZAF,1990,115553000000.0
South Africa,ZAF,1991,123943000000.0
South Africa,ZAF,1992,134545000000.0
South Africa,ZAF,1993,134310000000.0
South Africa,ZAF,1994,139752000000.0
South Africa,ZAF,1995,155460000000.0
South Africa,ZAF,1996,147608000000.0
South Africa,ZAF,1997,152586000000.0
South Africa,ZAF,1998,137774000000.0
South Africa,ZAF,1999,136632000000.0
South Africa,ZAF,2000,136362000000.0
South Africa,ZAF,2001,121601000000.0
South Africa,ZAF,2002,115748000000.0
South Africa,ZAF,2003,175257000000.0
South Africa,ZAF,2004,228937000000.0
South Africa,ZAF,2005,257671000000.0
South Africa,ZAF,2006,271811000000.0
South Africa,ZAF,2007,299034000000.0
South Africa,ZAF,2008,287100000000.0
South Africa,ZAF,2009,297217000000.0
South Africa,ZAF,2010,375298000000.0
South Africa,ZAF,2011,416878000000.0
South Africa,ZAF,2012,396333000000.0
South Africa,ZAF,2013,366810000000.0
South Africa,ZAF,2014,351119000000.0
South Africa,ZAF,2015,317611000000.0
South Africa,ZAF,2016,295456000000.0
